,OrphaNumber,Disorder_Name,Category
232,272,"Congenital muscular dystrophy, Fukuyama type",rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
233,273,Steinert myotonic dystrophy,rare cardiac diseases|rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare transplant-related disorders
234,274,Bernard-Soulier syndrome,rare genetic diseases|rare hematological diseases
235,275,Severe combined immunodeficiency due to DCLRE1C deficiency,rare genetic diseases|rare immunological diseases|rare transplant-related disorders
236,276,T-B+ severe combined immunodeficiency due to gamma chain deficiency,rare genetic diseases|rare immunological diseases|rare transplant-related disorders
237,277,Severe combined immunodeficiency due to adenosine deaminase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare immunological diseases|rare transplant-related disorders
238,280,Wolf-Hirschhorn syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare abdominal surgical diseases|rare surgical thoracic diseases|rare ophthalmic disorders|rare otorhinolaryngological diseases
239,281,Monosomy 5p syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders
240,282,Frontotemporal dementia,rare genetic diseases|rare neurological diseases
241,283,Demodicidosis,rare infectious diseases
242,284,Alveolar echinococcosis,rare infectious diseases
243,285,Hypermobile Ehlers-Danlos syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare systemic and rheumatological diseases
244,286,Vascular Ehlers-Danlos syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare surgical thoracic diseases|rare skin diseases|rare systemic and rheumatological diseases|rare circulatory system diseases
245,287,Classical Ehlers-Danlos syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare abdominal surgical diseases|rare surgical thoracic diseases|rare skin diseases|rare systemic and rheumatological diseases|rare odontological diseases
246,288,Hereditary elliptocytosis,rare genetic diseases|rare hematological diseases
247,289,Ellis Van Creveld syndrome,rare developmental anomalies during embryogenesis|rare cardiac malformations|rare genetic diseases|rare respiratory diseases|rare skin diseases|rare renal diseases|rare bone diseases|rare transplant-related disorders
248,290,Congenital rubella syndrome,rare developmental anomalies during embryogenesis|rare neurological diseases|rare ophthalmic disorders|rare infectious diseases|rare teratologic disorders
249,291,Congenital varicella syndrome,rare developmental anomalies during embryogenesis|rare ophthalmic disorders|rare infectious diseases|rare teratologic disorders
250,292,Congenital enterovirus infection,rare developmental anomalies during embryogenesis|rare infectious diseases|rare teratologic disorders
251,293,Congenital herpes simplex virus infection,rare developmental anomalies during embryogenesis|rare infectious diseases|rare teratologic disorders
252,294,Fetal cytomegalovirus syndrome,rare developmental anomalies during embryogenesis|rare neurological diseases|rare infectious diseases|rare teratologic disorders
253,295,Fetal parvovirus syndrome,rare developmental anomalies during embryogenesis|rare otorhinolaryngological diseases|rare infectious diseases|rare surgical maxillo-facial diseases|rare teratologic disorders
254,296,Ollier disease,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases|rare neoplastic diseases
255,297,Tick-borne encephalitis,rare neurological diseases|rare infectious diseases
256,298,Mitochondrial neurogastrointestinal encephalomyopathy,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare gastroenterological diseases|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
257,300,Bifunctional enzyme deficiency,rare inborn errors of metabolism|rare genetic diseases|rare transplant-related disorders
258,301,Ependymal tumor,rare neurological diseases|rare neoplastic diseases
259,302,Inherited epidermodysplasia verruciformis,rare genetic diseases|rare skin diseases|rare immunological diseases|rare neoplastic diseases
260,303,Dystrophic epidermolysis bullosa,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases
261,304,Epidermolysis bullosa simplex,rare genetic diseases|rare skin diseases
262,305,Junctional epidermolysis bullosa,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases
263,306,Self-limited infantile epilepsy,rare genetic diseases|rare neurological diseases
264,307,Juvenile myoclonic epilepsy,rare genetic diseases|rare neurological diseases
265,308,Progressive myoclonic epilepsy type 1,rare genetic diseases|rare neurological diseases
266,309,Familial partial epilepsy,rare genetic diseases|rare neurological diseases
267,310,Reflex epilepsy,rare genetic diseases|rare neurological diseases
268,312,Autosomal dominant epidermolytic ichthyosis,rare genetic diseases|rare skin diseases
269,313,Lamellar ichthyosis,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare ophthalmic disorders
270,314,Erythroderma desquamativum,rare genetic diseases|rare skin diseases
271,315,Erythrokeratoderma ''en cocardes'',rare genetic diseases|rare skin diseases
272,316,Progressive symmetric erythrokeratodermia,rare genetic diseases|rare skin diseases
273,317,Erythrokeratodermia variabilis,rare genetic diseases|rare skin diseases|rare ophthalmic disorders
274,318,Acute erythroid leukemia,rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
275,319,Skeletal Ewing sarcoma,rare bone diseases|rare neoplastic diseases|Classification of pediatric cancer (Functional)
276,320,Apparent mineralocorticoid excess,rare genetic diseases|rare renal diseases|rare endocrine diseases|rare transplant-related disorders
277,321,Multiple osteochondromas,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare bone diseases|rare neoplastic diseases
278,322,Exstrophy-epispadias complex,rare developmental anomalies during embryogenesis|rare genetic diseases|rare abdominal surgical diseases|rare urogenital diseases|rare renal diseases|rare transplant-related disorders
279,324,Fabry disease,rare cardiac diseases|rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare skin diseases|rare renal diseases|rare ophthalmic disorders|rare circulatory system diseases|rare transplant-related disorders
280,325,Congenital factor II deficiency,rare genetic diseases|rare hematological diseases
281,326,Congenital factor V deficiency,rare genetic diseases|rare hematological diseases
282,327,Congenital factor VII deficiency,rare genetic diseases|rare hematological diseases
283,328,Congenital factor X deficiency,rare genetic diseases|rare hematological diseases
284,329,Congenital factor XI deficiency,rare genetic diseases|rare hematological diseases
285,330,Congenital factor XII deficiency,rare genetic diseases|rare hematological diseases
286,331,Congenital factor XIII deficiency,rare genetic diseases|rare hematological diseases
287,332,Congenital intrinsic factor deficiency,rare inborn errors of metabolism|rare genetic diseases|rare hematological diseases
288,333,Farber disease,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare skin diseases|rare ophthalmic disorders|rare transplant-related disorders
289,334,Hereditary atrial fibrillation,rare cardiac diseases|rare genetic diseases
290,335,Congenital fibrinogen deficiency,rare genetic diseases|rare hematological diseases
291,337,Fibrodysplasia ossificans progressiva,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare skin diseases|rare bone diseases
292,340,Hemorrhagic fever-renal syndrome,rare infectious diseases
293,341,Viral hemorrhagic fever,rare infectious diseases
294,342,Familial Mediterranean fever,rare genetic diseases|rare renal diseases|rare immunological diseases|rare systemic and rheumatological diseases|rare systemic or rheumatologic diseases of childhood|rare transplant-related disorders
295,343,Hyperimmunoglobulinemia D with periodic fever,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare skin diseases|rare immunological diseases|rare systemic and rheumatological diseases|rare systemic or rheumatologic diseases of childhood
296,345,Dissecting cellulitis of the scalp,rare skin diseases
297,346,Quinquaud folliculitis decalvans,rare skin diseases
298,347,Frasier syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare urogenital diseases|rare renal diseases|rare endocrine diseases|rare neoplastic diseases|rare gynecological and obstetric diseases|rare transplant-related disorders
299,348,"Fructose-1,6-bisphosphatase deficiency",rare inborn errors of metabolism|rare genetic diseases
300,349,Fucosidosis,rare cardiac diseases|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare bone diseases|rare transplant-related disorders
301,351,Galactosialidosis,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare bone diseases
302,352,Galactosemia,rare inborn errors of metabolism|rare genetic diseases|rare renal diseases|rare ophthalmic disorders
303,353,Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5,rare cardiac diseases|rare genetic diseases|rare neurological diseases|rare transplant-related disorders
304,354,GM1 gangliosidosis,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare bone diseases|rare transplant-related disorders
305,355,Gaucher disease,rare inborn errors of metabolism|rare genetic diseases|rare transplant-related disorders
306,356,Gerstmann-Straussler-Scheinker syndrome,rare genetic diseases|rare neurological diseases
307,358,Gitelman syndrome,rare genetic diseases|rare renal diseases
308,359,Pediatric-onset glaucoma of genetic origin,rare genetic diseases
309,360,Glioblastoma,rare neurological diseases|rare neoplastic diseases|Classification of pediatric cancer (Functional)
310,361,Familial glucocorticoid deficiency,rare genetic diseases|rare neurological diseases|rare endocrine diseases
311,364,Glycogen storage disease due to glucose-6-phosphatase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare hepatic diseases|rare renal diseases|rare transplant-related disorders
